Activiteittype,Datum,Favoriet,Titel,Afstand,Calorieën,Tijd,Gem. HS,Max. HS,Training effect aeroob,Gem. loopcadans,Max. loopcadans,Gemiddeld tempo,Beste tempo,Totale stijging,Totale daling,Gem. staplengte,Gemiddelde verticale ratio,Gem. verticale oscillatie,Gem. grondcontacttijd,Gem. balans grondcontacttijd,Gem. GAP,Gem. loopcadans,Max. loopcadans,Normalized Power® (NP®),Training Stress Score®,Maximaal gemiddeld vermogen (20 min),Gem. vermogen,Max. vermogen,Totaal aantal slagen,Gemiddelde Swolf,Gem. slagsnelheid,Stappen,Totaal herhalingen,Totaal sets,Min. temp.,Decompressie,Beste rondetijd,Aantal ronden,Max. temp.,Gem ademh,Min ademh,Max ademh,Stresswijziging,Stress vooraf,Stress achteraf,Gemiddelde stress,Max stress,Tijd bewogen,Verstreken tijd,Minimum hoogte,Maximum hoogte
Zwembad,2025-02-17 21:00:31,false,"Pool Swim","1,575","412","01:01:39","138","186","3.1","--","--","2:09","0:18","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","832","45","25","--","--","--","--","Nee","00:00:07.3","47","--","--","--","--","--","--","--","--","--","00:33:49","01:02:14","--","--"
Hardlopen,2025-02-16 10:21:37,false,"Amsterdam - Base","17.29","907","01:32:33","159","182","5.0","175","194","5:21","3:39","41","33","1.06","8.7","9.2","240","--","5:22","--","--","216","0.0","--","215","320","--","--","--","16,134","--","--","--","Nee","00:03:17.2","18","--","--","--","--","--","--","--","--","--","01:32:29","01:32:40","-4","10"
Zwembad,2025-02-13 15:48:02,false,"Pool Swim","1,375","297","00:37:53","142","162","3.0","--","--","2:07","1:33","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","729","45","25","--","--","--","--","Nee","00:00:02.2","33","--","--","--","--","--","--","--","--","--","00:29:01","00:40:00","--","--"
Hardlopen,2025-02-12 18:59:01,false,"Amsterdam Running","8.29","410","00:40:34","169","182","5.0","185","223","4:54","3:38","1","--","1.10","7.3","8.2","213","50.3% L / 49.7% R","4:55","--","--","218","0.0","--","213","288","--","--","--","7,390","--","--","--","Nee","00:01:22.1","9","--","39","24","46","--","--","--","--","--","00:40:23","00:56:48","-2","2"
Zwembad,2025-02-10 21:03:11,false,"Pool Swim","1,025","236","00:56:36","97","147","1.9","--","--","2:05","0:41","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","547","45","26","--","--","--","--","Nee","00:00:03.6","45","--","--","--","--","--","--","--","--","--","00:21:23","01:00:24","--","--"
Hardlopen,2025-02-09 09:41:31,false,"Amsterdam Running","8.87","448","00:49:08","150","172","4.0","175","186","5:32","4:09","21","14","1.02","8.7","8.9","241","--","5:32","--","--","207","0.0","--","205","299","--","--","--","8,396","--","--","--","Nee","00:04:43.5","9","--","--","--","--","--","--","--","--","--","00:48:59","00:49:22","-3","7"
Hardlopen,2025-02-09 09:02:23,false,"Amsterdam Running","4.91","258","00:27:25","156","176","3.5","170","194","5:35","3:38","16","9","1.05","9.0","9.4","247","--","5:33","--","--","204","0.0","--","202","327","--","--","--","4,730","--","--","--","Nee","00:04:41.2","5","--","--","--","--","--","--","--","--","--","00:27:16","00:27:51","-2","7"
Zwembad,2025-02-06 16:14:59,false,"Pool Swim","1,275","2,141","00:49:39","122","172","2.7","--","--","2:10","0:46","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","647","45","23","--","--","--","--","Nee","00:00:07.2","43","--","--","--","--","--","--","--","--","--","00:27:42","00:55:22","--","--"
Hardlopen,2025-02-05 18:58:28,false,"Amsterdam Running","8.83","435","00:46:10","161","181","4.6","180","215","5:14","3:38","5","3","1.06","7.5","7.9","218","50.2% L / 49.8% R","5:15","--","--","208","0.0","--","197","314","--","--","--","8,196","--","--","--","Nee","00:04:31.5","9","--","38","19","47","--","--","--","--","--","00:45:25","01:03:27","-3","1"
Zwembad,2025-02-03 21:04:24,false,"Pool Swim","1,275","311","01:00:42","122","158","2.5","--","--","2:19","0:58","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","685","48","23","--","--","--","--","Nee","00:00:05.6","38","--","--","--","--","--","--","--","--","--","00:29:38","01:06:34","--","--"
Hardlopen op een loopband,2025-02-03 14:45:21,false,"Treadmill Running","5.61","256","00:25:32","165","180","4.0","168","216","4:33","3:25","--","--","1.33","7.5","9.9","215","--","--","--","--","252","0.0","--","236","306","--","--","--","2,976","--","--","--","Nee","00:02:55.5","6","--","--","--","--","--","--","--","--","--","00:23:35","00:26:49","--","--"
Hardlopen,2025-02-02 13:55:11,false,"Amsterdam Running","9.42","453","00:51:48","144","155","3.8","171","196","5:30","3:36","27","21","1.06","9.0","9.5","247","--","5:30","--","--","213","0.0","--","210","335","--","--","--","8,912","--","--","--","Nee","00:01:56.0","10","--","--","--","--","--","--","--","--","--","00:51:36","00:51:48","-1","9"
Hardlopen,2025-01-31 15:45:51,false,"Amsterdam - Base","7.84","405","00:41:54","158","178","4.6","174","195","5:20","3:40","28","40","1.08","8.7","9.4","242","--","5:18","--","--","217","0.0","--","215","303","--","--","--","7,198","--","--","--","Nee","00:00:53.5","9","--","--","--","--","--","--","--","--","--","00:41:51","00:42:17","-4","9"
Zwembad,2025-01-27 21:03:20,false,"Pool Swim","1,650","2,282","00:59:58","144","177","3.5","--","--","2:27","1:13","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","914","51","23","--","--","--","--","Nee","00:00:06.9","37","--","--","--","--","--","--","--","--","--","00:40:26","01:00:41","--","--"
Hardlopen,2025-01-27 13:00:32,false,"Amsterdam - Base","5.55","287","00:30:19","156","166","3.8","175","200","5:27","3:27","37","26","1.04","8.6","8.9","240","--","5:23","--","--","215","0.0","--","212","377","--","--","--","5,262","--","--","--","Nee","00:00:18.8","7","--","--","--","--","--","--","--","--","--","00:30:15","00:30:25","-4","12"
Hardlopen,2025-01-22 15:21:25,false,"Dalaman Running","13.16","674","01:08:16","163","179","5.0","179","207","5:11","4:00","22","12","1.06","8.3","8.8","232","--","5:12","--","--","215","0.0","--","212","296","--","--","--","12,194","--","--","--","Nee","00:00:58.7","14","--","--","--","--","--","--","--","--","--","01:08:13","01:08:16","8","27"
Hardlopen,2025-01-20 14:28:03,false,"Dalaman - Sprint","7.41","384","00:43:36","149","163","3.6","165","250","5:53","2:32","7","9","1.00","9.3","9.1","255","--","5:54","--","--","192","0.0","--","187","408","--","--","--","7,242","--","--","--","Nee","00:00:06.0","17","--","--","--","--","--","--","--","--","--","00:43:30","00:43:36","6","12"
Wandelen,2025-01-19 16:17:59,false,"Dalaman Walking","2.43","139","00:48:59","84","109","0.5","86","236","20:12","4:38","127","115","0.58","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","5,098","--","--","--","Nee","00:09:23.8","3","--","--","--","--","--","--","--","--","--","00:45:30","00:56:49","332","467"
Hardlopen,2025-01-18 09:22:24,false,"Dalaman - Base","5.43","278","00:30:07","149","161","3.6","175","188","5:33","4:31","8","6","1.03","8.8","9.1","243","--","5:33","--","--","207","0.0","--","206","246","--","--","--","5,252","--","--","--","Nee","00:00:06.9","7","--","--","--","--","--","--","--","--","--","00:30:04","00:30:07","8","15"
Hardlopen,2025-01-17 18:16:23,false,"Dalaman - Sprint","8.90","437","00:50:36","143","158","3.6","172","244","5:41","2:29","4","4","1.01","9.1","9.0","248","--","5:40","--","--","201","0.0","--","197","418","--","--","--","8,616","--","--","--","Nee","00:00:06.3","23","--","--","--","--","--","--","--","--","--","00:50:26","00:50:36","8","12"
Zwembad,2025-01-13 21:04:19,false,"Pool Swim","1,600","2,180","00:52:58","127","165","2.8","--","--","2:22","0:57","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","842","49","22","--","--","--","--","Nee","00:00:01.0","59","--","--","--","--","--","--","--","--","--","00:37:53","01:15:21","--","--"
Hardlopen,2025-01-11 12:41:22,false,"Amsterdam - Base","7.28","374","00:40:35","149","160","4.0","169","197","5:34","4:02","16","10","1.05","8.9","9.2","246","--","5:35","--","--","205","0.0","--","200","295","--","--","--","6,984","--","--","--","Nee","00:00:35.0","9","--","--","--","--","--","--","--","--","--","00:40:29","00:40:35","-5","5"
Hardlopen,2025-01-08 17:19:52,false,"Amsterdam - Anaerobic","7.83","422","00:44:05","160","188","4.3","174","239","5:38","2:03","18","12","1.02","8.2","8.4","235","49.4% L / 50.6% R","5:37","--","--","198","0.0","--","190","510","--","--","--","7,550","--","--","--","Nee","00:00:05.2","17","--","37","16","46","--","--","--","--","--","00:44:03","00:44:05","-6","6"
Hardlopen,2025-01-05 14:12:19,false,"Amsterdam - Base","7.35","356","00:40:58","138","153","3.3","170","231","5:34","4:10","23","10","1.05","8.9","9.3","245","--","5:30","--","--","216","0.0","--","212","341","--","--","--","7,042","--","--","--","Nee","00:00:57.5","9","--","--","--","--","--","--","--","--","--","00:40:50","01:04:10","-4","6"
Fietsen,2025-01-04 10:06:36,false,"Cycling","32.73","642","01:13:58","147","179","--","--","--","26.5","52.2","--","--","--","--","--","--","--","--","83","146","108","0.0","--","88","500","--","--","--","--","--","--","--","Nee","01:13:58","1","--","--","--","--","--","--","--","--","--","01:13:57","01:13:57","--","--"
Krachttraining,2025-01-02 14:43:21,false,"Strength","0.00","273","01:00:18","106","146","2.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","266","133","21","--","Nee","01:00:18","1","--","--","--","--","--","--","--","--","--","00:31:43","01:02:27","--","--"
Hardlopen,2025-01-01 15:04:43,false,"Amsterdam - Base","5.53","258","00:30:06","135","151","3.2","172","231","5:27","3:55","43","39","1.07","8.8","9.4","243","--","5:25","--","--","218","0.0","--","216","377","--","--","--","5,192","--","--","--","Nee","00:00:06.3","7","--","--","--","--","--","--","--","--","--","00:29:54","00:30:42","-4","11"
Fietsen,2024-12-31 15:11:54,false,"Cycling","12.35","243","00:26:25","143","158","--","--","--","28.1","38.1","--","--","--","--","--","--","--","--","87","103","103","0.0","--","97","216","--","--","--","--","--","--","--","Nee","00:00:44","18","--","--","--","--","--","--","--","--","--","00:26:21","00:26:24","--","--"
Hardlopen,2024-12-30 17:41:34,false,"Amsterdam - Threshold","6.76","352","00:35:15","157","178","4.2","176","195","5:13","3:03","22","21","1.08","8.5","9.1","236","--","5:13","--","--","224","0.0","--","220","401","--","--","--","6,076","--","--","--","Nee","00:00:14.8","9","--","--","--","--","--","--","--","--","--","00:35:09","00:35:15","-7","4"
Hardlopen,2024-12-28 13:42:17,false,"Amsterdam Running","1.05","56","00:07:18.5","134","148","1.3","162","171","6:58","5:48","5","3","0.89","9.9","9.0","263","49.9% L / 50.1% R","6:56","--","--","170","0.0","--","165","245","--","--","--","1,176","--","--","--","Nee","00:00:19.8","2","--","34","24","39","--","--","--","--","--","00:07:15","00:07:18.5","0","7"
Hardlopen,2024-12-28 13:20:26,false,"Amsterdam Running","3.05","153","00:14:28","167","177","3.4","178","214","4:44","3:59","1","3","1.18","8.0","9.4","227","--","4:46","--","--","244","0.0","--","240","306","--","--","--","2,568","--","--","--","Nee","00:00:18.1","4","--","37","29","43","--","--","--","--","--","00:14:27","00:14:28","-0","3"
Hardlopen,2024-12-28 13:08:58,false,"Amsterdam Running","1.65","91","00:10:30","142","162","2.3","157","181","6:23","4:35","13","4","0.97","7.6","7.8","259","49.7% L / 50.3% R","6:20","--","--","198","0.0","--","172","266","--","--","--","1,618","--","--","--","Nee","00:04:52.1","2","--","33","15","37","--","--","--","--","--","00:10:30","00:10:57","-5","7"
Hardlopen,2024-12-25 17:18:04,false,"Amsterdam - Base","5.85","300","00:34:25","140","161","3.2","169","186","5:53","4:24","13","8","1.00","9.4","9.4","255","--","5:52","--","--","198","0.0","--","196","272","--","--","--","5,840","--","--","--","Nee","00:04:59.0","6","--","--","--","--","--","--","--","--","--","00:34:18","00:34:25","-6","4"
Hardlopen,2024-12-23 17:17:20,false,"Amsterdam - Base","5.49","276","00:30:12","145","155","3.4","174","200","5:30","2:36","11","8","1.03","8.9","9.1","244","--","5:33","--","--","212","0.0","--","210","447","--","--","--","5,206","--","--","--","Nee","00:00:12.2","7","--","--","--","--","--","--","--","--","--","00:30:08","00:30:12","-6","3"
Hardlopen,2024-12-22 08:33:15,false,"Amsterdam - Base","5.30","271","00:30:09","143","156","3.4","174","186","5:41","3:50","33","27","1.01","9.0","9.1","247","--","5:42","--","--","212","0.0","--","209","374","--","--","--","5,198","--","--","--","Nee","00:00:08.8","7","--","--","--","--","--","--","--","--","--","00:30:02","00:30:09","-5","6"
Indoorcycling,2024-12-20 17:01:45,false,"Indoor Cycling","0.00","275","00:41:45","136","175","3.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","Nee","00:41:45","1","--","--","--","--","--","--","--","--","--","00:00:00","00:41:45","--","--"
Hardlopen,2024-12-18 19:02:51,false,"Amsterdam Running","6.79","344","00:50:41","121","156","3.0","125","187","7:28","3:50","40","37","1.03","9.1","9.1","253","--","7:21","--","--","183","0.0","--","152","327","--","--","--","6,862","--","--","--","Nee","00:05:09.1","7","--","--","--","--","--","--","--","--","--","00:42:18","01:14:01","-2","10"
Zwembad,2024-12-16 21:03:25,false,"Pool Swim","1,125","2,146","00:43:47","131","181","3.0","--","--","2:17","0:32","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","613","48","24","--","--","--","--","Nee","00:00:04.2","42","--","--","--","--","--","--","--","--","--","00:25:40","01:19:44","--","--"
Indoorcycling,2024-12-14 09:15:34,false,"Indoor Cycling","0.00","413","00:55:39","146","177","4.5","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","Nee","00:55:39","1","--","--","--","--","--","--","--","--","--","00:00:00","00:55:39","--","--"
Hardlopen,2024-12-10 14:39:33,false,"Amsterdam - Base","8.51","397","00:44:37","142","168","4.1","173","200","5:15","2:29","23","16","1.09","8.6","9.3","239","--","5:13","--","--","223","0.0","--","219","317","--","--","--","7,778","--","--","--","Nee","00:00:22.5","10","--","--","--","--","--","--","--","--","--","00:44:28","00:46:10","-6","5"
Hardlopen,2024-12-07 12:19:39,false,"Amsterdam - Sprint","3.79","195","00:21:01","152","181","3.2","174","233","5:33","2:32","20","15","1.03","8.1","8.4","231","50.0% L / 50.0% R","5:34","--","--","199","0.0","--","195","395","--","--","--","3,614","--","--","--","Nee","00:00:15","9","--","36","24","41","--","--","--","--","--","00:20:57","00:25:54","-3","5"
Hardlopen,2024-12-05 17:47:23,false,"Amsterdam Running","6.06","290","00:37:33","128","150","3.0","171","197","6:12","4:14","22","8","0.94","9.4","8.8","254","--","6:08","--","--","189","0.0","--","186","279","--","--","--","6,434","--","--","--","Nee","00:00:20.7","7","--","--","--","--","--","--","--","--","--","00:37:22","00:41:22","-6","4"
Indoorcycling,2024-12-04 19:03:10,false,"Indoor Cycling","0.00","299","00:40:09","144","190","3.8","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","Nee","00:40:09","1","--","--","--","--","--","--","--","--","--","00:00:00","00:40:09","--","--"
Hardlopen,2024-12-01 14:36:28,false,"Amsterdam - Recovery","4.81","225","00:28:18","127","139","3.0","170","200","5:53","4:16","16","9","0.99","9.3","9.2","253","--","5:55","--","--","198","0.0","--","194","275","--","--","--","4,806","--","--","--","Nee","00:00:39.5","6","--","--","--","--","--","--","--","--","--","00:28:03","00:28:18","-4","6"
Virtueel fietsen,2024-11-30 08:44:59,false,"Zwift - Group Ride:  EVO CC Fusion Endurance Ride! [2.2-2.4w/kg avg] (D) on Greatest London Flat in London","26.06","311","00:52:23","152","174","4.3","--","--","29.8","51.7","182","--","--","--","--","--","--","--","71","110","122","0.0","112","103","413","--","--","--","--","--","--","--","Nee","00:52:23","1","--","--","--","--","--","--","--","--","--","00:52:18","00:52:22","3","34"
Hardlopen op een loopband,2024-11-27 13:55:50,false,"Treadmill Running","1.94","96","00:10:45","145","163","2.6","145","172","5:32","4:01","--","--","1.27","8.5","10.6","250","--","--","--","--","236","0.0","--","200","299","--","--","--","1,602","--","--","--","Nee","00:04:37.4","2","--","--","--","--","--","--","--","--","--","00:09:53","00:10:45","--","--"
Hardlopen,2024-11-21 19:17:04,false,"Amsterdam Running","2.86","141","00:16:44","135","146","2.8","168","222","5:51","3:03","5","--","1.00","9.4","9.3","256","--","5:52","--","--","206","0.0","--","200","412","--","--","--","2,826","--","--","--","Nee","00:04:48.9","3","--","--","--","--","--","--","--","--","--","00:16:37","00:16:44","-2","6"
Zwembad,2024-11-17 13:32:28,false,"Pool Swim","1,500","233","00:49:07","109","157","2.0","--","--","2:11","1:42","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","788","92","24","--","--","--","--","Nee","00:00:04.7","49","--","--","--","--","--","--","--","--","--","00:32:46","00:59:10","--","--"
Zwembad,2024-11-14 10:32:00,false,"Today swim fin paddle pullbuoy","1,050","228","00:36:33","125","159","2.7","--","--","2:15","1:04","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","535","47","23","--","--","--","--","Nee","00:00:01.7","32","--","--","--","--","--","--","--","--","--","00:23:41","00:38:04","--","--"
Hardlopen,2024-11-10 11:14:37,false,"Amsterdam Running","5.05","227","00:26:22","136","169","3.4","174","212","5:13","3:45","14","10","1.09","8.6","9.4","239","--","5:14","--","--","219","0.0","--","216","291","--","--","--","4,536","--","--","--","Nee","00:00:15.0","6","--","--","--","--","--","--","--","--","--","00:26:20","00:26:22","-2","6"
Zwembad,2024-11-08 12:36:30,false,"Pool Swim","925","307","00:46:33","136","182","3.3","--","--","2:17","0:45","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","524","49","25","--","--","--","--","Nee","00:00:09.8","35","--","--","--","--","--","--","--","--","--","00:21:11","00:54:57","--","--"
Indoorcycling,2024-11-07 17:38:18,false,"Indoor Cycling","0.00","131","00:16:33","142","173","3.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","Nee","00:16:33","1","--","--","--","--","--","--","--","--","--","00:00:00","00:16:33","--","--"
Zwembad,2024-11-03 12:32:55,false,"Pool Swim","1,200","335","00:52:44","135","179","3.4","--","--","2:12","0:55","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","634","92","24","--","--","--","--","Nee","00:00:02.1","42","--","--","--","--","--","--","--","--","--","00:26:24","01:01:42","--","--"
Zwembad,2024-11-01 09:03:10,false,"Pool Swim","1,175","2,166","00:41:20","133","167","3.0","--","--","2:29","0:52","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","646","51","22","--","--","--","--","Nee","00:00:04.9","34","--","--","--","--","--","--","--","--","--","00:29:08","00:43:40","--","--"
Hardlopen,2024-10-29 17:08:09,false,"Amsterdam - Base","5.52","270","00:32:23","133","150","3.4","167","231","5:52","3:31","14","10","1.02","9.4","9.6","256","--","5:50","--","--","200","0.0","--","198","336","--","--","--","5,418","--","--","--","Nee","00:00:23.1","7","--","--","--","--","--","--","--","--","--","00:32:17","00:33:39","-1","9"
Zwembad,2024-10-27 13:32:12,false,"Pool Swim","1,850","297","00:42:06","134","161","3.1","--","--","1:40","0:27","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","651","68","21","--","--","--","--","Nee","00:00:03.3","46","--","--","--","--","--","--","--","--","--","00:30:56","00:59:59","--","--"
Hardlopen,2024-10-26 13:06:40,false,"Amsterdam Running","8.58","454","00:50:15","149","162","4.3","169","187","5:51","4:13","16","14","1.01","9.3","9.4","254","--","5:52","--","--","197","0.0","--","196","293","--","--","--","8,486","--","--","--","Nee","00:03:32.1","9","--","--","--","--","--","--","--","--","--","00:50:11","00:52:47","4","8"
Hardlopen,2024-10-24 18:56:45,false,"Amsterdam Running","2.24","123","00:14:10","142","147","2.6","165","179","6:19","5:26","1","3","0.94","9.7","9.1","261","--","6:22","--","--","181","0.0","--","179","231","--","--","--","2,366","--","--","--","Nee","00:01:34.4","3","--","--","--","--","--","--","--","--","--","00:14:08","00:14:21","5","7"
Hardlopen,2024-10-24 17:36:14,false,"Amsterdam - Base","9.89","448","00:53:01","134","151","3.6","173","202","5:22","3:44","4","5","1.08","8.7","9.3","242","--","5:20","--","--","215","0.0","--","213","291","--","--","--","9,200","--","--","--","Nee","00:01:07.4","11","--","--","--","--","--","--","--","--","--","00:52:58","01:16:51","3","10"
Hardlopen,2024-10-22 11:57:20,false,"Amsterdam - Base","5.51","253","00:30:17","132","150","3.2","171","231","5:30","3:10","9","5","1.06","8.9","9.4","246","--","5:29","--","--","216","0.0","--","211","335","--","--","--","5,200","--","--","--","Nee","00:02:44.5","6","--","--","--","--","--","--","--","--","--","00:30:09","00:31:47","-0","5"
Hardlopen,2024-10-17 08:32:15,false,"Amsterdam - Base","5.30","248","00:27:04","146","161","3.6","171","209","5:06","3:12","6","8","1.14","8.6","9.8","239","--","5:06","--","--","229","0.0","--","225","354","--","--","--","4,650","--","--","--","Nee","00:01:24.3","6","--","--","--","--","--","--","--","--","--","00:27:00","00:31:04","0","6"
Hardlopen,2024-10-06 15:35:11,false,"Amsterdam - Base","8.02","393","00:43:19","148","166","4.0","170","186","5:24","4:17","12","8","1.08","8.9","9.5","244","--","5:24","--","--","211","0.0","--","209","275","--","--","--","7,448","--","--","--","Nee","00:00:10.2","9","--","--","--","--","--","--","--","--","--","00:43:17","00:47:43","5","12"
Virtueel fietsen,2024-10-01 08:46:37,false,"Zwift - Build and Release [Lite] in France","7.04","106","00:18:23","148","174","2.9","--","--","23.0","56.2","108","--","--","--","--","--","--","--","87","134","111","0.0","--","100","202","--","--","--","--","--","--","--","Nee","00:00:10","26","--","--","--","--","--","--","--","--","--","00:18:20","00:18:22","13","121"
Hardlopen,2024-09-28 17:10:19,false,"Amsterdam Running","8.51","403","00:45:05","146","178","4.3","173","203","5:18","3:36","13","11","1.08","8.7","9.4","241","--","5:18","--","--","213","0.0","--","212","311","--","--","--","7,804","--","--","--","Nee","00:02:12.0","9","--","--","--","--","--","--","--","--","--","00:44:50","00:49:38","1","11"
Hardlopen,2024-09-25 15:45:43,false,"Amsterdam Running","6.10","292","00:38:55","125","145","2.8","161","241","6:23","3:21","5","5","0.97","9.6","9.3","262","--","6:21","--","--","186","0.0","--","181","334","--","--","--","6,308","--","--","--","Nee","00:00:38.6","7","--","--","--","--","--","--","--","--","--","00:38:46","01:04:08","1","5"
Wegwielrennen,2024-09-19 17:47:29,false,"Amsterdam Road Cycling","53.59","972","01:56:33","158","185","5.0","--","--","27.6","38.4","146","71","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","16.0","Nee","00:06:57.3","11","26.0","38","13","46","--","--","--","--","--","01:54:45","03:09:17","-80","3"
Hardlopen,2024-09-17 13:15:22,false,"Amsterdam - Base","7.96","363","00:39:43","148","181","3.9","170","195","4:59","3:33","10","14","1.17","8.4","9.8","236","--","5:01","--","--","227","0.0","--","225","332","--","--","--","6,836","--","--","--","Nee","00:01:20.2","9","--","--","--","--","--","--","--","--","--","00:39:29","01:00:10","2","10"
Zwembad,2024-09-15 13:33:18,false,"Pool Swim","1,350","313","00:41:44","141","190","3.1","--","--","2:09","0:39","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","648","88","22","--","--","--","--","Nee","00:00:00.7","41","--","--","--","--","--","--","--","--","--","00:28:59","01:01:09","--","--"
Wegwielrennen,2024-09-14 09:46:01,false,"Amsterdam Road Cycling","70.91","1,120","02:54:06","143","178","4.9","--","--","24.4","37.2","193","153","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","14.0","Nee","00:03:03.4","15","27.0","32","18","43","--","--","--","--","--","02:51:20","03:55:12","-142","-98"
Hardlopen,2024-09-13 17:33:40,false,"Amsterdam Running","13.25","673","01:14:05","152","177","4.9","168","245","5:35","4:22","23","19","1.06","9.1","9.6","250","--","5:35","--","--","208","0.0","--","205","287","--","--","--","12,508","--","--","--","Nee","00:01:33.3","14","--","--","--","--","--","--","--","--","--","01:13:54","01:48:55","2","11"
Hardlopen,2024-09-11 15:00:15,false,"Amsterdam Running","10.02","489","00:58:41","136","154","3.6","167","201","5:51","4:05","43","25","1.02","9.4","9.6","257","--","5:52","--","--","197","0.0","--","197","293","--","--","--","9,826","--","--","--","Nee","00:00:09.2","11","--","--","--","--","--","--","--","--","--","00:58:31","01:22:44","-14","10"
Zwemmen in open water,2024-09-08 15:06:30,false,"Mugla Open Water Swimming","227","43","00:05:36.0","131","141","1.4","--","--","2:28","1:41","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","137","16","24","--","--","--","30.0","Nee","00:05:36.0","1","34.0","--","--","--","--","--","--","--","--","00:04:53","00:06:28.6","--","--"
Zwemmen in open water,2024-09-08 08:48:28,false,"Mugla Open Water Swimming","391","69","00:10:55","119","134","1.1","--","--","2:48","1:07","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","1","--","--","--","--","29.0","Nee","00:10:55","1","34.0","--","--","--","--","--","--","--","--","00:09:32","00:11:24","--","--"
