Activiteittype,Datum,Favoriet,Titel,Afstand,Calorieën,Tijd,Gem. HS,Max. HS,Training effect aeroob,Gem. loopcadans,Max. loopcadans,Gemiddeld tempo,Beste tempo,Totale stijging,Totale daling,Gem. staplengte,Gemiddelde verticale ratio,Gem. verticale oscillatie,Gem. grondcontacttijd,Gem. balans grondcontacttijd,Gem. GAP,Gem. loopcadans,Max. loopcadans,Normalized Power® (NP®),Training Stress Score®,Maximaal gemiddeld vermogen (20 min),Gem. vermogen,Max. vermogen,Totaal aantal slagen,Gemiddelde Swolf,Gem. slagsnelheid,Stappen,Totaal herhalingen,Totaal sets,Min. temp.,Decompressie,Beste rondetijd,Aantal ronden,Max. temp.,Gem ademh,Min ademh,Max ademh,Stresswijziging,Stress vooraf,Stress achteraf,Gemiddelde stress,Max stress,Tijd bewogen,Verstreken tijd,Minimum hoogte,Maximum hoogte
Hardlopen,2024-09-05 06:57:42,false,"Kusadasi Running","4.52","221","00:29:18","132","155","2.8","164","196","6:29","4:15","92","87","0.93","9.6","8.8","259","--","6:04","--","--","198","0.0","--","185","365","--","--","--","4,892","--","--","--","Nee","00:03:44.5","5","--","--","--","--","--","--","--","--","--","00:29:03","00:47:55","3","78"
Zwemmen in open water,2024-09-02 07:08:15,false,"Antalya Open Water Swimming","817","155","00:23:13","126","165","2.5","--","--","2:51","1:51","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","569","19","26","--","--","--","29.0","Nee","00:03:42.1","3","29.0","--","--","--","--","--","--","--","--","00:21:42","00:29:24","--","--"
Hardlopen,2024-09-01 07:17:00,false,"Kumluca - Base","6.98","350","00:43:37","135","160","3.1","166","250","6:15","4:47","41","27","0.96","9.4","9.0","257","--","6:11","--","--","188","0.0","--","184","292","--","--","--","7,308","--","--","--","Nee","00:05:50.6","7","--","--","--","--","--","--","--","--","--","00:43:21","00:55:35","2","26"
Zwemmen in open water,2024-08-31 14:42:52,false,"Antalya Open Water Swimming","677","154","00:19:55","137","166","2.5","--","--","2:56","1:09","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","426","17","22","--","--","--","30.0","Nee","00:04:34.9","2","31.0","--","--","--","--","--","--","--","--","00:18:15","00:24:57","--","--"
Zwemmen in open water,2024-08-30 14:16:57,false,"Mugla Open Water Swimming","1,053","223","00:30:14","134","150","2.4","--","--","2:52","1:22","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","683","17","22","--","--","--","30.0","Nee","00:01:12.4","3","38.0","--","--","--","--","--","--","--","--","00:29:56","00:32:12","--","--"
Zwemmen in open water,2024-08-30 10:17:24,false,"Mugla Open Water Swimming","1,436","343","00:44:28","139","160","3.0","--","--","3:06","1:43","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","871","17","19","--","--","--","30.0","Nee","00:13:28","3","36.0","--","--","--","--","--","--","--","--","00:43:25","00:46:04","--","--"
Hardlopen,2024-08-26 19:28:08,false,"Dalaman Running","4.58","240","00:29:48","142","156","2.9","162","179","6:31","5:18","5","4","0.96","8.4","8.1","261","50.8% L / 49.3% R","6:28","--","--","177","0.0","--","168","229","--","--","--","4,726","--","--","--","Nee","00:03:36.3","5","--","35","21","42","--","--","--","--","--","00:29:28","00:29:48","10","14"
Multisport,2024-08-24 09:04:08,false,"Ouder-Amstel Multisport","25.72","731","01:33:08","--","176","5.0","--","--","16.6","--","38","53","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","Nee","--:--:--","5","--","--","--","--","--","--","--","--","--","--:--:--","01:33:12","-5","12"
Hardlopen,2024-08-21 17:09:56,false,"Amsterdam - 30 min easy","6.54","304","00:36:45","142","176","3.7","160","196","5:37","2:59","23","23","1.07","8.4","8.9","253","--","5:37","--","--","226","0.0","--","201","436","--","--","--","5,974","--","--","--","Nee","00:00:06.6","8","--","--","--","--","--","--","--","--","--","00:36:33","00:38:49","1","10"
Zwembad,2024-08-20 15:32:12,false,"2*600m; 2*250m; 4*(75,50,25)","1,800","279","00:53:07","118","149","2.0","--","--","2:22","1:49","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","1019","50","24","--","--","--","--","Nee","00:00:02.6","41","--","--","--","--","--","--","--","--","--","00:42:35","00:53:57","--","--"
Hardlopen,2024-08-19 17:53:53,false,"Amsterdam - 30 min easy; 10 min fast!","9.34","458","00:55:18","145","180","3.9","159","215","5:55","3:57","25","23","1.03","8.8","9.0","275","--","5:55","--","--","210","0.0","--","188","306","--","--","--","8,716","--","--","--","Nee","00:00:17.9","12","--","--","--","--","--","--","--","--","--","00:55:06","00:56:12","0","9"
Hardlopen,2024-08-17 16:57:56,false,"Amsterdam Running","4.12","176","00:20:46","136","158","2.6","167","187","5:02","3:35","8","3","1.17","8.6","10.0","240","--","5:01","--","--","230","0.0","--","227","310","--","--","--","3,514","--","--","--","Nee","00:00:36.7","5","--","--","--","--","--","--","--","--","--","00:20:44","00:33:10","1","7"
Wegwielrennen,2024-08-17 10:41:44,false,"Ouder-Amstel Road Cycling","26.47","470","01:00:40","151","171","3.4","--","--","26.2","37.9","62","52","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","23.0","Nee","00:04:12.3","6","29.0","38","20","48","--","--","--","--","--","01:00:30","01:20:53","-5","7"
Wegwielrennen,2024-08-17 10:04:14,false,"Amsterdam Road Cycling","12.48","216","00:29:36","138","164","2.7","--","--","25.3","36.2","29","35","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","21.0","Nee","00:05:32.6","3","27.0","31","17","43","--","--","--","--","--","00:29:26","00:34:53","-4","8"
Wegwielrennen,2024-08-15 17:43:47,false,"Amsterdam Road Cycling","67.10","1,033","02:17:04","153","180","5.0","--","--","29.4","43.1","109","108","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","19.0","Nee","00:05:24.0","14","30.0","36","19","46","--","--","--","--","--","02:16:50","02:46:27","-3","9"
Hardlopen,2024-08-14 20:20:46,false,"Amsterdam - 6,20,6; P:2,4 min","6.68","318","00:50:22","116","138","2.6","149","231","7:33","5:03","10","7","0.90","9.9","8.7","283","--","7:27","--","--","166","0.0","--","150","258","--","--","--","7,648","--","--","--","Nee","00:00:10.9","12","--","--","--","--","--","--","--","--","--","00:50:13","00:50:46","2","7"
Zwembad,2024-08-13 13:02:02,false,"Pool Swim","1,650","332","00:53:41","131","164","2.7","--","--","2:03","0:22","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","853","44","25","--","--","--","--","Nee","00:00:01.1","62","--","--","--","--","--","--","--","--","--","00:33:49","00:59:46","--","--"
Zwembad,2024-08-12 18:45:44,false,"Pool Swim","950","171","00:30:09","122","152","2.0","--","--","2:11","0:57","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","500","92","24","--","--","--","--","Nee","00:00:18.6","18","--","--","--","--","--","--","--","--","--","00:20:47","00:43:02","--","--"
Hardlopen,2024-08-12 12:27:01,false,"Amsterdam - 6,20,6; P:2,4 min","8.16","407","00:50:48","146","170","3.5","158","189","6:14","3:33","10","10","1.02","7.4","7.7","256","49.9% L / 50.1% R","6:10","--","--","184","0.0","--","165","326","--","--","--","7,944","--","--","--","Nee","00:00:21.3","14","--","34","13","44","--","--","--","--","--","00:50:35","00:51:31","1","6"
Zwemmen in open water,2024-08-11 09:46:50,false,"Amsterdam Open Water Swimming","1,599","384","00:50:46","142","154","3.0","--","--","3:10","1:47","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","1","--","--","--","--","23.0","Nee","00:03:17.4","4","25.0","--","--","--","--","--","--","--","--","00:48:19","00:56:45","--","--"
Peddelsurfen,2024-08-10 15:38:51,false,"Amsterdam Stand Up Paddleboarding","3.73","270","01:04:59","111","148","1.8","--","--","17:25","7:34","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","1518","--","--","--","--","--","--","Nee","00:15:06","4","--","--","--","--","--","--","--","--","--","00:57:51","01:15:12","--","--"
Multisport,2024-08-10 08:19:39,false,"Amsterdam Multisport","31.33","733","01:27:47","--","181","5.0","--","--","21.4","--","88","90","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","Nee","--:--:--","3","--","--","--","--","--","--","--","--","--","--:--:--","01:35:46","-2","20"
Yoga,2024-08-08 07:27:46,false,"Yoga","--","41","00:29:49","69","95","0.0","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","1","--","Nee","00:29:49","1","--","20","11","24","-19","42","23","38","87","00:29:49","00:29:49","--","--"
Zwembad,2024-08-06 12:30:42,false,"Pool Swim","1,850","2,227","00:57:55","129","158","2.6","--","--","2:01","0:51","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","931","43","25","--","--","--","--","Nee","00:00:02.1","78","--","--","--","--","--","--","--","--","--","00:37:18","01:06:39","--","--"
Hardlopen,2024-08-05 18:46:23,false,"Amsterdam - 2*(5,4,3,2)","7.77","379","00:51:54","129","154","3.1","145","236","6:41","3:33","11","11","0.97","9.3","9.0","287","--","6:36","--","--","184","0.0","--","161","306","--","--","--","7,930","--","--","--","Nee","00:00:10.4","20","--","--","--","--","--","--","--","--","--","00:51:52","00:51:54","2","7"
Wegwielrennen,2024-08-04 09:11:52,false,"Amsterdam Road Cycling","106.02","1,592","04:02:23","152","180","5.0","--","--","26.2","47.4","191","185","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","19.0","Nee","00:03:12.8","22","28.0","35","15","46","--","--","--","--","--","04:01:13","05:42:49","-3","34"
Wegwielrennen,2024-08-01 17:48:07,false,"Amsterdam Road Cycling","66.57","867","02:15:51","143","176","3.7","--","--","29.4","45.4","96","100","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","19.0","Nee","00:03:30.5","14","26.0","--","--","--","--","--","--","--","--","02:14:14","02:57:36","-4","9"
Hardlopen,2024-07-31 18:19:17,false,"Amsterdam - 2*7 min Run","4.03","189","00:24:22","139","169","2.9","155","250","6:03","3:43","11","12","1.02","9.0","9.2","265","--","6:04","--","--","200","0.0","--","183","296","--","--","--","3,860","--","--","--","Nee","00:01:00","8","--","--","--","--","--","--","--","--","--","00:24:20","00:25:31","3","8"
Fietsen,2024-07-31 17:12:29,false,"Amsterdam Cycling","7.82","150","00:22:42","131","153","2.2","--","--","20.7","30.2","7","8","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","Nee","00:08:24.5","2","--","--","--","--","--","--","--","--","--","00:22:17","00:31:41","2","7"
Fietsen,2024-07-31 08:03:57,false,"Amsterdam Cycling","9.19","205","00:27:27","143","166","2.9","--","--","20.1","35.7","16","11","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","Nee","00:12:27","2","--","--","--","--","--","--","--","--","--","00:24:00","00:28:43","2","11"
Zwembad,2024-07-30 18:31:48,false,"Pool Swim","1,825","354","00:50:05","140","167","2.8","--","--","2:08","0:51","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","917","45","23","--","--","--","--","Nee","00:00:01.7","60","--","--","--","--","--","--","--","--","--","00:39:03","01:02:16","--","--"
Hardlopen,2024-07-29 18:02:06,false,"Amsterdam - 2*7 min Run","5.17","256","00:33:40","137","160","2.9","161","178","6:30","4:11","12","8","0.95","8.0","7.7","276","50.3% L / 49.7% R","6:29","--","--","170","0.0","--","163","271","--","--","--","5,404","--","--","--","Nee","00:00:50.2","9","--","33","20","41","--","--","--","--","--","00:33:33","00:36:37","1","7"
Zwembad,2024-07-28 17:02:52,false,"Pool Swim","750","136","00:16:21","148","167","2.5","--","--","2:11","1:58","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","391","46","24","--","--","--","--","Nee","00:16:21","1","--","--","--","--","--","--","--","--","--","00:16:21","00:16:48","--","--"
Wegwielrennen,2024-07-27 11:50:54,false,"Amsterdam Road Cycling","39.02","657","01:28:44","149","171","3.7","--","--","26.4","41.8","91","87","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","24.0","Nee","00:09:24.7","8","29.0","37","18","47","--","--","--","--","--","01:28:33","01:37:11","-4","12"
Virtueel fietsen,2024-07-25 19:15:52,false,"Zwift - 3*20min fast P:5min in Watopia","46.75","572","01:32:46","144","179","4.5","--","--","30.2","62.0","361","--","--","--","--","--","--","--","61","113","126","0.0","146","107","456","--","--","--","--","--","--","--","Nee","00:00:44","9","--","--","--","--","--","--","--","--","--","01:32:42","01:32:45","11","83"
Fietsen,2024-07-25 16:52:52,false,"Amsterdam Cycling","7.10","101","00:22:28","111","140","1.1","--","--","18.9","32.7","7","10","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","Nee","00:06:00.5","2","--","--","--","--","--","--","--","--","--","00:21:38","00:29:38","1","8"
Fietsen,2024-07-25 14:36:00,false,"Amsterdam Cycling","8.99","176","00:28:13","129","158","2.3","--","--","19.1","31.2","7","14","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","Nee","00:12:46","2","--","--","--","--","--","--","--","--","--","00:26:48","00:30:55","2","9"
Yoga,2024-07-25 07:03:03,false,"Yoga","--","37","00:18:53","78","104","0.1","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","1","--","Nee","00:18:53","1","--","15","12","18","17","15","32","57","90","00:18:53","00:18:53","--","--"
Hardlopen,2024-07-24 15:34:46,false,"Amsterdam - 3*(6min P:2min 4min P:1min)","11.28","552","01:08:56","143","169","3.8","160","240","6:07","4:07","18","18","1.00","9.2","9.2","265","--","6:05","--","--","200","0.0","--","187","294","--","--","--","11,116","--","--","--","Nee","00:00:04.9","25","--","--","--","--","--","--","--","--","--","01:08:49","01:12:35","-0","7"
Fietsen,2024-07-24 08:12:55,false,"Amsterdam Cycling","8.64","149","00:26:36","123","155","2.4","--","--","19.5","30.3","10","12","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","Nee","00:11:21","2","--","--","--","--","--","--","--","--","--","00:24:40","00:30:59","2","9"
Zwembad,2024-07-23 18:30:09,false,"Pool Swim","1,600","283","00:52:13","126","168","2.4","--","--","2:14","1:01","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","804","46","22","--","--","--","--","Nee","00:00:01.2","51","--","--","--","--","--","--","--","--","--","00:35:50","01:05:15","--","--"
Pilates,2024-07-23 08:22:24,false,"Pilates","0.00","53","00:23:45","81","110","0.1","2","149","--","--","--","--","0.00","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","148","74","7","--","Nee","00:23:45","1","--","--","--","--","--","--","--","--","--","00:23:45","00:24:49","--","--"
Hardlopen,2024-07-22 18:18:43,false,"Amsterdam - 3*(6min P:2min 4min P:1min)","11.60","582","01:07:09","157","177","4.5","167","242","5:47","2:57","10","9","1.02","9.3","9.4","255","--","5:47","--","--","210","0.0","--","202","396","--","--","--","11,200","--","--","--","Nee","00:00:09","24","--","--","--","--","--","--","--","--","--","01:07:00","01:07:24","2","6"
Zwembad,2024-07-21 17:02:08,false,"Pool Swim","2,050","303","00:57:29","124","158","2.3","--","--","2:26","1:52","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","1156","101","23","--","--","--","--","Nee","00:00:01.0","25","--","--","--","--","--","--","--","--","--","00:49:58","01:00:21","--","--"
Fietsen,2024-07-20 09:48:19,false,"Haarlemmermeer Cycling","73.36","1,140","03:06:41","144","176","4.5","--","--","23.6","35.2","141","140","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","Nee","00:00:11.3","16","--","--","--","--","--","--","--","--","--","02:57:49","04:22:02","-2","22"
Wegwielrennen,2024-07-20 08:52:40,false,"Amsterdam Road Cycling","97.66","1,523","03:58:06","145","178","4.5","--","--","24.6","38.0","213","218","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","23.0","Nee","00:07:50.8","20","41.0","--","--","--","--","--","--","--","--","03:57:06","05:19:02","-2","24"
Fietsen,2024-07-20 00:41:25,false,"Amsterdam Cycling","8.28","123","00:30:56","108","136","0.8","--","--","16.1","24.5","18","16","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","Nee","00:11:37","2","--","--","--","--","--","--","--","--","--","00:30:34","00:31:16","1","9"
Fietsen,2024-07-19 17:53:33,false,"Amsterdam Cycling","6.65","127","00:22:39","123","153","2.0","--","--","17.6","31.0","13","11","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","Nee","00:05:12.0","2","--","--","--","--","--","--","--","--","--","00:19:43","01:33:49","-1","8"
Wegwielrennen,2024-07-18 17:04:43,false,"Amsterdam Road Cycling","46.70","609","01:52:41","138","169","3.3","--","--","24.9","36.6","81","87","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","24.0","Nee","00:04:22.9","10","29.0","31","17","38","--","--","--","--","--","01:52:19","02:14:27","-3","10"
Hardlopen,2024-07-17 18:23:44,false,"Amsterdam - 4*5 min Run","5.04","251","00:33:03","137","160","3.1","157","179","6:33","4:04","7","7","0.95","9.9","9.4","276","--","6:31","--","--","183","0.0","--","177","292","--","--","--","5,290","--","--","--","Nee","00:01:00","10","--","--","--","--","--","--","--","--","--","00:33:01","00:33:21","2","6"
Fietsen,2024-07-17 17:07:40,false,"Amsterdam Cycling","9.28","111","00:30:05","102","139","1.0","--","--","18.5","27.5","18","13","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","Nee","00:14:19","2","--","--","--","--","--","--","--","--","--","00:28:04","00:30:05","0","8"
Fietsen,2024-07-17 08:10:18,false,"Amsterdam Cycling","8.79","198","00:27:29","142","168","3.1","--","--","19.2","29.4","12","14","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","--","Nee","00:12:12","2","--","--","--","--","--","--","--","--","--","00:25:06","00:29:58","1","8"
Zwembad,2024-07-16 18:31:12,false,"Pool Swim","1,900","2,193","00:53:22","136","177","2.8","--","--","2:09","0:51","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","985","45","24","--","--","--","--","Nee","00:00:03.4","43","--","--","--","--","--","--","--","--","--","00:40:46","01:00:38","--","--"
Hardlopen,2024-07-15 16:35:14,false,"Amsterdam - 4*5 min Run","5.19","252","00:31:41","145","179","3.3","155","192","6:06","3:25","8","8","1.01","9.3","9.4","268","--","6:09","--","--","196","0.0","--","181","338","--","--","--","5,100","--","--","--","Nee","00:01:00","10","--","--","--","--","--","--","--","--","--","00:31:20","00:31:55","2","7"
Zwembad,2024-07-14 14:37:53,false,"Pool Swim","800","144","00:21:25","135","155","2.2","--","--","2:31","0:41","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","476","105","24","--","--","--","--","Nee","00:00:05.7","8","--","--","--","--","--","--","--","--","--","00:20:05","00:24:50","--","--"
Zwembad,2024-07-14 14:10:06,false,"Pool Swim","475","169","00:25:53","135","152","2.3","--","--","4:49","1:50","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","524","100","23","--","--","--","--","Nee","00:00:08.4","11","--","--","--","--","--","--","--","--","--","00:22:54","00:26:51","--","--"
Virtueel fietsen,2024-07-13 18:22:31,false,"Zwift - 3*15min fast P:4min in Watopia","45.38","576","01:28:19","149","178","4.7","--","--","30.8","48.2","184","--","--","--","--","--","--","--","64","97","127","0.0","133","113","402","--","--","--","--","--","--","--","Nee","00:00:34","9","--","--","--","--","--","--","--","--","--","01:28:04","01:28:58","-6","20"
Wegwielrennen,2024-07-11 19:03:03,false,"Amsterdam Road Cycling","8.13","163","00:22:14","147","168","2.7","--","--","21.9","34.4","17","18","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","20.0","Nee","00:08:53.1","2","24.0","33","24","40","--","--","--","--","--","00:22:09","00:24:17","1","8"
Wegwielrennen,2024-07-11 17:33:55,false,"Amsterdam Road Cycling","31.52","581","01:15:56","157","176","4.4","--","--","24.9","33.4","46","44","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","19.0","Nee","00:04:55.0","7","26.0","35","23","41","--","--","--","--","--","01:15:43","01:22:45","-4","5"
Wegwielrennen,2024-07-11 16:53:47,false,"Amsterdam Road Cycling","9.25","196","00:26:55","149","171","3.0","--","--","20.6","32.0","20","19","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","22.0","Nee","00:13:17","2","25.0","32","23","37","--","--","--","--","--","00:26:47","00:28:27","0","7"
Hardlopen,2024-07-10 18:30:05,false,"Amsterdam - 5*3 min Run","4.11","200","00:26:53","139","159","3.0","151","179","6:33","4:54","8","9","0.98","9.7","9.5","282","--","6:30","--","--","193","0.0","--","180","278","--","--","--","4,160","--","--","--","Nee","00:01:00","12","--","--","--","--","--","--","--","--","--","00:26:52","00:26:53","2","9"
Zwembad,2024-07-09 18:31:29,false,"Pool Swim","1,325","2,146","00:45:06","134","166","2.6","--","--","1:58","0:50","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","593","41","23","--","--","--","--","Nee","00:00:03.7","56","--","--","--","--","--","--","--","--","--","00:26:02","01:00:38","--","--"
Hardlopen,2024-07-08 07:26:01,false,"Amsterdam - 5*3 min Run","3.55","182","00:25:14","141","159","3.0","156","178","7:07","5:16","12","12","0.92","8.1","7.6","295","50.7% L / 49.3% R","7:02","--","--","164","0.0","--","152","235","--","--","--","3,874","--","--","--","Nee","00:00:14.4","12","--","32","20","39","--","--","--","--","--","00:25:13","00:25:14","3","8"
Virtueel fietsen,2024-07-07 11:44:27,false,"Zwift - 5*7min fast P:2min in Scotland","34.93","406","01:16:09","137","172","3.9","--","--","27.5","57.5","287","--","--","--","--","--","--","--","64","113","115","0.0","113","93","401","--","--","--","--","--","--","--","Nee","00:01:07","13","--","--","--","--","--","--","--","--","--","01:16:05","01:16:08","22","54"
Krachttraining,2024-07-06 14:22:59,false,"Strength","0.00","148","00:38:07","112","142","1.2","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","392","196","17","--","Nee","00:38:07","1","--","--","--","--","--","--","--","--","--","00:17:28","00:38:07","--","--"
Zwembad,2024-07-05 13:30:17,false,"Pool Swim","1,700","291","00:48:51","139","186","3.3","--","--","2:10","1:34","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","851","45","23","--","--","--","--","Nee","00:00:01.1","53","--","--","--","--","--","--","--","--","--","00:36:43","00:59:01","--","--"
Wegwielrennen,2024-07-04 18:38:07,false,"Amsterdam Road Cycling","38.27","708","01:28:17","167","181","5.0","--","--","26.0","40.3","80","79","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","17.0","Nee","00:09:58.2","8","20.0","37","21","44","--","--","--","--","--","01:28:11","01:30:11","-2","10"
Wegwielrennen,2024-07-04 18:11:08,false,"Amsterdam Road Cycling","3.94","86","00:12:19","143","169","2.3","--","--","19.2","37.5","18","12","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","17.0","Nee","00:12:19","1","25.0","28","20","36","--","--","--","--","--","00:10:18","00:12:57","0","11"
Indoorcycling,2024-07-01 19:12:54,false,"Amsterdam Indoor Cycling","8.17","144","00:25:12","131","153","2.1","--","--","19.5","31.5","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","18.0","Nee","00:25:12","1","20.0","27","18","33","--","--","--","--","--","00:24:03","00:27:55","--","--"
Indoorcycling,2024-07-01 18:04:49,false,"Amsterdam road Cycling","26.25","392","01:04:43","140","164","3.1","--","--","24.3","31.7","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","18.0","Nee","01:04:43","1","23.0","30","22","37","--","--","--","--","--","01:04:05","01:04:43","--","--"
Indoorcycling,2024-07-01 15:14:20,false,"Amsterdam road Cycling","8.53","201","00:31:39","137","179","3.0","--","--","16.2","35.4","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","--","18.0","Nee","00:31:39","1","29.0","28","19","37","--","--","--","--","--","00:25:10","02:40:55","--","--"
Wandelen,2024-06-26 09:07:14,false,"Dalaman Walking","1.09","61","00:12:25","129","153","0.9","108","223","11:25","6:31","--","4","0.81","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","1,508","--","--","--","Nee","00:01:22.9","2","--","--","--","--","--","--","--","--","--","00:12:11","00:12:25","11","15"
Hardlopen,2024-06-26 08:35:13,false,"Dalaman - Base","4.05","205","00:24:55","159","177","3.5","157","179","6:09","4:49","8","3","1.01","9.5","9.6","267","--","6:06","--","--","190","0.0","--","183","240","--","--","--","3,970","--","--","--","Nee","00:00:20.3","5","--","--","--","--","--","--","--","--","--","00:24:54","00:29:58","9","16"
Hardlopen,2024-06-21 18:48:46,false,"Dalaman Running","2.47","124","00:19:24","134","159","2.3","149","180","7:51","5:50","62","68","0.87","8.4","7.3","301","49.7% L / 50.3% R","7:30","--","--","160","0.0","--","145","239","--","--","--","2,852","--","--","--","Nee","00:04:01.3","3","--","30","19","37","--","--","--","--","--","00:19:22","00:19:24","267","324"
Zwemmen in open water,2024-06-21 12:58:48,false,"Mugla Open Water Swimming","359","57","00:11:13","128","152","1.1","--","--","3:08","1:50","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","241","18","22","--","--","--","30.0","Nee","00:11:13","1","31.0","--","--","--","--","--","--","--","--","00:10:14","00:41:06","--","--"
